tmdb_id,provider_id
5174,"81,796"
526007,97
393,"83,561,796"
9954,"81,796"
954,"8,97,1796"
74,97
77,"8,356,97,1796"
559969,"81,796"
318256,"81,796"
71676,356
364689,337
287947,"81,796"
322,97
2289,97
395834,"356,97,701"
24420,97
627725,350
342473,"356,97"
335796,"83,561,796"
41439,701
399055,337
530915,"8,97,701,1796"
274855,356
1824,97
22586,"81,796"
39486,337
24150,356
1026624,337
454983,"81,796"
9714,337
864168,"81,796"
70160,"97,701"
274857,356
698508,97
169,337
291805,"83,567,011,796"
44048,337
3049,"8,97,1796"
13353,350
10947,337
11212,337
924,356
2501,"8,119,356,97,1796"
392044,337
402897,97
10693,337
818397,"356,97,701"
9509,"337,356,97"
222935,337
116745,337
72331,337
853,97
10357,337
293970,"81,796"
739993,"81,796"
638974,"81,796"
13655,337
13680,337
20760,337
12405,"97,701"
185,356
1266,337
7220,"81,796"
7442,337
562,337
527261,"356,97"
615665,"81,796"
457232,"356,97"
64690,356
268896,"8,119,356,97,1796"
833425,337
38322,337
646,97
522681,"8,356,97,1796"
9631,"337,97"
788,337
10677,97
153518,"8,97,1796"
666277,"81,796"
329,119
100042,"356,97"
6282,337
12163,356
311,337
338952,356
257445,"8,97,1796"
617505,"81,796"
124905,"83,561,796"
114150,119
16523,97
17379,97
11820,97
10315,"337,97"
532639,337
2898,97
44833,"119,356"
300673,337
454640,97
395,337
90,8
419743,97
417320,337
524047,"8,97,701,1796"
10048,97
776503,"81,796"
840,97
1498,"356,97"
654028,"81,796"
318121,"81,796"
516486,350
374617,701
522518,"97,701"
58595,"8,97,1796"
1927,97
43949,"356,97"
9016,337
1581,"119,356,97"
522931,"81,796"
2675,337
433,337
318846,"337,356,97"
446354,"8,97"
504148,"356,97"
11046,97
282035,"81,193,561,796"
806,337
676,337
473033,"81,796"
136799,"81,191,796"
396806,"81,796"
121986,356
109451,97
965150,"8,356,97,1796"
374720,356
5915,97
9426,337
49040,"83,561,796"
13179,337
14347,"356,97"
57201,337
9543,337
390062,97
274870,"8,356,97,1796"
501170,"81,796"
484641,97
1372,"81,796"
395990,"87,011,796"
333484,97
193756,"8,356,97,1796"
199534,356
423988,97
1891,337
11319,337
274854,701
